Titulo,Link,Publicación,Tiempo Restante,Tipo de trabajo,Ubicación,Presupuesto,Experiencia Requerida,Cliente,Pais,Contenido,Mensaje
"seo migration domain
                ",http://www.nubelo.com/proyecto/seo-migration-domain,"16 días
                      ","13 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","sin especificar
              ","Experto (+10 años)
                     ",imagine cariló ,Argentina                ,"
              Quisiera me presupuesten el siguiente trabajo que consta de varias etapas.1) Tengo una nueva pagina en desarrollo en wordpress con la que quiero reemplazar la vieja que esta desarrollada en html:www.cariloimagine.com.ar (vieja en html)http://w5000363.ferozo.com/alquiler-carilo-2-2/ (worpress en desarrollo para optimizar)2) antes del cambio, optimizar la velocidad y el seo de la nueva web para que el cambio sea fructífero.3) Aqui viene la parte mas delicada: tengo que dar de baja el dominio www.cariloimagine.com.ar, en Enero, por razones fiscales de Argentina.Tengo adquirido el dominio www.cariloimagine.com, desde hace años, y apuntando awww.cariloimagine.com.ar. La idea es hacer la redireccion y cualquier trabajo necesario como para no perder posicionamiento.4) una vez realizados los cambios, realizar tareas de posicionamiento en www.cariloimagine.com, es decir la nueva webagradecerè me informen  honorarios y plan de trabajo graciasjavier            ",""
"Desarrollo en Pentaho
                ",http://www.nubelo.com/proyecto/desarrollo-en-pentaho-3,"16 días
                      ","13 días
                      ","proyecto freelance
           ","Mexico, Mexico City
          ","sin especificar
              ","Intermedio (3-5 años)
                  ",P&S Innovation ,Mexico                ,"
              Conformar un equipo de consultores para desarrollar una aplicación bajo la plataforma de Pentaho, la duración del proyecto esta estimada en 5 meses y puede crecer de acuerdo a las siguientes fases, este es en la ciudad de México, el esquema es contratación por proyecto Duración del proyecto: Corta duraciónRoles a cubrir por el freelance: Desarrollador, Analista FuncionalCompatibilidad con: Windows, Linux / UnixEstado del proyecto: Tengo los diseñosLenguajes de programación requeridos: Pentaho, BI            ",""
"Fusión de plataformas Moodle con Wordpress
                ",http://www.nubelo.com/proyecto/fusion-de-plataformas-moodle-con-wordpress,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Dremweb Ltda. ,Chile                ,"
              La necesidad surge de la plataforma Moodle como una herramienta capaz de entregar una amplia gamma de información ligada al área educacional, wordpress a su vez posee un robusto sistema de administrar este tipo de información seguido de su fácil interfaz intuitiva. Como empresa tenemos la falencia de no poser una herramientas capaz de administrar al 100% las cualidad de Moodle, para esto requerimos la implementación de un proceso o micro sistema capaz de que ambas plataformas conversen y sean compatibles con su contenido.            ",""
"Necesito un Programador Web para realizar webs a medida
                ",http://www.nubelo.com/proyecto/necesito-un-programador-web-para-realizar-webs-a-medida,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Idoia ,España                ,"
              Somos una empresa de marketing online y por crecimiento de la misma queremos incorporar un colaborador externo. Pensamos en una persona con experiencia en la creacion de webs desde 0, foros, tiendas online, etc...Nos gustaría que esta persona tenga experiencia en diseño gráfico.Sería para colaborar a largo plazo con en proyectos de este tipo.Sólo personas residentes en España.Duración del proyecto: Larga duraciónRoles a cubrir por el freelance: Diseñador, DesarrolladorEstado del proyecto: Tengo las especificaciones            ",""
"Técnico de mantenimiento y operaciones
                ",http://www.nubelo.com/proyecto/tecnico-de-mantenimiento-y-operaciones,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","",Parkeon Slu ,España                ,"
              PERFIL	Formación:Técnico Superior en Administración de Sistemas Informáticos en Red.	Experiencia:- No necesaria, pero se valorará positivamente experiencia previa en áreas deinformática o telecomunicaciones.	Conocimientos:- Administración sistemas UNIX, monitorización de rendimiento desistema, aplicaciones y procesos. Scripting.- Redes TCP/IP.	 Bases de Datos SQL.	Lenguajes de marcado XML, JSON-	Windows, MS Office - Excel.	Idiomas:- Inglés alto, mínimo B2 hablado y escrito.	Valorable francés.            ",""
"Técnicos de Internet
                ",http://www.nubelo.com/proyecto/tecnicos-de-internet,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","",lanalden.com ,España                ,"
              PERFIL	Agilidad en manejo y configuración de sistemas operativos a partir de Windows XP y configuración de redes	Habilidad para el trato con clientes, fluidez verbal, conocimiento del ""Cliente""            ",""
"Programador Android
                ",http://www.nubelo.com/proyecto/programador-android-138,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","","Corsi Import-export, Sl ",España                ,"
              PERFIL	Buscamos un profesional con iniciativa y creatividad, acostumbrado a trabajar en equipo, con mucha experiencia desarrollando aplicaciones web y acostumbrado a trabajar con Frameworks.	Se requiere, al menos 3-4 años de experiencia en programación con Android conocimientos de Frameworks y acostumbrado a trabajar con metodologías ágiles como Scrum o Kanban.	Dominio de Java Android en Android Studio o Eclipse y dependencias.	Experiencia en programación a bajo nivel con NDK- Librerías como RoboLibraries, Gson, Retrofit, Picasso, Android Annotations.	Android Wear, Google Maps, Google Play Services, AdMob, QR, etc	Dependencias en Maven, Gradle.	Adicionalmente, JUnit, Mockito, TestFairy, HockeyApp, UrbanAirship, etc. HTTP, HTML/CSS, JavaScript y AngularJS.	Se valorará conocimientos en .NET, Titanium, Apache Cordova, NativeScript, Bootstrap, jQuery Mobile            ",""
"Analista Programador IOS
                ",http://www.nubelo.com/proyecto/analista-programador-ios-13,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","","Corsi Import-export, Sl ",España                ,"
              PERFIL	Buscamos un profesional con iniciativa y creatividad, acostumbrado a trabajar en equipo, con mucha experiencia desarrollando aplicaciones web en iOS y acostumbrado a trabajar con Frameworks.	Se trabajará con tecnológicas como: Servicios Rest, Git, Objetive C/C++, Cocoa Touch, Programación en Xcode.	Es valorable tener conocimiento en usabilidad de aplicaciones nativas y desarrollo web (Java, JavaSxript, PHP, HTML, CSS).            ",""
"Desarrollador python 1h/dia (tkinter/tkk/pmw)
                ",http://www.nubelo.com/proyecto/desarrollador-python-1hdia-tkintertkkpmw,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Senior (6-10 años)
                     ",Netcom Europa S.L. ,España                ,"
              Buscamos un desarrolador python freelance que pueda trabajar 1 hora al dia desarrollando un prototipo de aplicación.Se irían dando especificaciones graduales en paquetes semanales.Se trabajaría sobre un servidor compartido.Necesario conocimientos o interés por aprender widgets.            ",""
"Sistema ETL + BI
                ",http://www.nubelo.com/proyecto/sistema-etl-bi,"16 días
                      ","13 días
                      ","proyecto freelance
           ","Chile, Santiago
              ","2.870,00 €
                   ","Intermedio (3-5 años)
                  ",Pal**** ,Chile                ,"
              Se necesita extraer datos de diferentes fuentes, que vayan a parar a una misma base de datos homologada, para luego hacer consultas y reportes sobre los datos de tipo inteligencia de negocios o BI.Se tendrá a una persona de Jefe de Proyecto y un Analista que realizará el analisis de la información             ",""
"Web developer/Programmer 
                ",http://www.nubelo.com/proyecto/web-developer-programmer-,"16 días
                      ","13 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Intermedio (3-5 años)
                  ",TempEmp Limited ,España                ,"
              We are looking for an outstanding Web Developer/ to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include working with Wordpress, maintaining, expanding and scaling the website, clearing the bugs, developing the features, adding more languages, and integrate data from various back-end services and databases             ",""
